x01delvs;x02price;x03price;x04mfgim;x05servi;x06salim;x07quali;x08size;x09usag;x10sasfa;x11speci;x12struc;x13type;x14bsitu;user;categor;newuse
2.80;2.40;6.70;4.90;2.50;2.60;9.20;2.00;32.00;3.70;1.00;2.00;2.00;1.00;1.00;2.00;2.00
3.80;.80;8.70;2.90;1.60;2.10;5.60;1.00;39.00;3.70;2.00;1.00;1.00;1.00;1.00;2.00;2.00
2.90;2.60;7.70;7.00;2.80;3.60;7.70;1.00;47.00;4.20;2.00;2.00;2.00;2.00;2.00;3.00;
4.90;4.40;7.40;6.90;4.60;4.00;9.60;2.00;62.00;6.20;1.00;2.00;1.00;2.00;3.00;5.00;
5.40;2.50;9.60;5.50;4.00;3.00;7.70;1.00;65.00;6.00;2.00;1.00;1.00;3.00;3.00;5.00;
4.30;1.80;7.60;5.40;3.10;2.50;4.40;1.00;46.00;5.60;2.00;1.00;2.00;3.00;2.00;3.00;
2.30;4.50;8.00;4.70;3.30;2.20;8.70;2.00;50.00;5.00;1.00;2.00;2.00;2.00;2.00;3.00;
3.10;1.90;9.90;4.50;2.60;3.10;3.80;1.00;54.00;4.80;2.00;1.00;2.00;3.00;3.00;4.00;
5.10;1.90;9.20;5.80;3.60;2.30;4.50;1.00;60.00;6.10;2.00;1.00;1.00;3.00;3.00;4.00;
4.10;1.10;9.30;5.50;2.50;2.70;7.40;1.00;47.00;5.30;2.00;1.00;2.00;3.00;2.00;3.00;
3.00;3.80;5.50;4.90;3.40;2.60;6.00;1.00;36.00;4.20;2.00;2.00;2.00;2.00;1.00;2.00;2.00
1.10;2.00;7.20;4.70;1.60;3.20;10.00;2.00;40.00;3.40;1.00;2.00;2.00;1.00;2.00;2.00;2.00
3.70;1.40;9.00;4.50;2.60;2.30;6.80;1.00;45.00;4.90;2.00;1.00;1.00;2.00;2.00;3.00;
4.20;2.50;9.20;6.20;3.30;3.90;7.30;1.00;59.00;6.00;2.00;1.00;1.00;3.00;3.00;4.00;
1.60;4.50;6.40;5.30;3.00;2.50;7.10;2.00;46.00;4.50;1.00;2.00;1.00;2.00;2.00;3.00;
5.30;1.70;8.50;3.70;3.50;1.90;4.80;1.00;58.00;4.30;2.00;1.00;1.00;3.00;3.00;4.00;
2.30;3.70;8.30;5.20;3.00;2.30;9.10;2.00;49.00;4.80;1.00;2.00;2.00;2.00;2.00;3.00;
3.60;5.40;5.90;6.20;4.50;2.90;8.40;2.00;50.00;5.40;1.00;2.00;2.00;2.00;2.00;3.00;
5.60;2.20;8.20;3.10;4.00;1.60;5.30;1.00;55.00;3.90;2.00;1.00;2.00;3.00;3.00;4.00;
3.60;2.20;9.90;4.80;2.90;1.90;4.90;1.00;51.00;4.90;2.00;1.00;1.00;3.00;2.00;4.00;
5.20;1.30;9.10;4.50;3.30;2.70;7.30;1.00;60.00;5.10;2.00;1.00;2.00;3.00;3.00;4.00;
3.00;2.00;6.60;6.60;2.40;2.70;8.20;2.00;41.00;4.10;1.00;2.00;1.00;1.00;2.00;3.00;
4.20;2.40;9.40;4.90;3.20;2.70;8.50;1.00;49.00;5.20;2.00;1.00;2.00;2.00;2.00;3.00;
3.80;.80;8.30;6.10;2.20;2.60;5.30;1.00;42.00;5.10;2.00;1.00;1.00;2.00;2.00;3.00;
3.30;2.60;9.70;3.30;2.90;1.50;5.20;1.00;47.00;5.10;2.00;1.00;2.00;3.00;2.00;3.00;
1.00;1.90;7.10;4.50;1.50;3.10;9.90;2.00;39.00;3.30;2.00;2.00;2.00;1.00;1.00;2.00;2.00
4.50;1.60;8.70;4.60;3.10;2.10;6.80;1.00;56.00;5.10;1.00;1.00;1.00;3.00;3.00;4.00;
5.50;1.80;8.70;3.80;3.60;2.10;4.90;1.00;59.00;4.50;2.00;1.00;1.00;3.00;3.00;4.00;
3.40;4.60;5.50;8.20;4.00;4.40;6.30;1.00;47.00;5.60;2.00;2.00;2.00;2.00;2.00;3.00;
1.60;2.80;6.10;6.40;2.30;3.80;8.20;2.00;41.00;4.10;1.00;2.00;1.00;1.00;2.00;3.00;
2.30;3.70;7.60;5.00;3.00;2.50;7.40;1.00;37.00;4.40;2.00;2.00;1.00;1.00;1.00;2.00;2.00
2.60;3.00;8.50;6.00;2.80;2.80;6.80;2.00;53.00;5.60;1.00;2.00;1.00;2.00;2.00;4.00;
2.50;3.10;7.00;4.20;2.80;2.20;9.00;2.00;43.00;3.70;1.00;2.00;2.00;1.00;2.00;3.00;
2.40;2.90;8.40;5.90;2.70;2.70;6.70;2.00;51.00;5.50;1.00;2.00;1.00;2.00;2.00;4.00;
2.10;3.50;7.40;4.80;2.80;2.30;7.20;1.00;36.00;4.30;2.00;2.00;1.00;1.00;1.00;2.00;2.00
2.90;1.20;7.30;6.10;2.00;2.50;8.00;2.00;34.00;4.00;1.00;2.00;2.00;1.00;1.00;2.00;2.00
4.30;2.50;9.30;6.30;3.40;4.00;7.40;1.00;60.00;6.10;2.00;1.00;1.00;3.00;3.00;4.00;
3.00;2.80;7.80;7.10;3.00;3.80;7.90;1.00;49.00;4.40;2.00;2.00;2.00;2.00;2.00;3.00;
4.80;1.70;7.60;4.20;3.30;1.40;5.80;1.00;39.00;5.50;2.00;1.00;1.00;2.00;1.00;2.00;2.00
3.10;4.20;5.10;7.80;3.60;4.00;5.90;1.00;43.00;5.20;2.00;2.00;2.00;2.00;2.00;3.00;
1.90;2.70;5.00;4.90;2.20;2.50;8.20;2.00;36.00;3.60;1.00;2.00;1.00;1.00;1.00;2.00;2.00
4.00;.50;6.70;4.50;2.20;2.10;5.00;1.00;31.00;4.00;2.00;1.00;2.00;1.00;1.00;2.00;2.00
.60;1.60;6.40;5.00;.70;2.10;8.40;2.00;25.00;3.40;1.00;2.00;2.00;1.00;1.00;1.00;1.00
6.10;.50;9.20;4.80;3.30;2.80;7.10;1.00;60.00;5.20;2.00;1.00;2.00;3.00;3.00;4.00;
2.00;2.80;5.20;5.00;2.40;2.70;8.40;2.00;38.00;3.70;1.00;2.00;1.00;1.00;1.00;2.00;2.00
3.10;2.20;6.70;6.80;2.60;2.90;8.40;2.00;42.00;4.30;1.00;2.00;1.00;1.00;2.00;3.00;
2.50;1.80;9.00;5.00;2.20;3.00;6.00;1.00;33.00;4.40;2.00;1.00;1.00;1.00;1.00;2.00;2.00
